"severity","levelId","file","code","message","details"
"severe","564","assets/LevelData/level_564.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":420}"
"severe","565","assets/LevelData/level_565.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":841}"
"severe","566","assets/LevelData/level_566.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":676}"
"severe","567","assets/LevelData/level_567.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":810}"
"severe","568","assets/LevelData/level_568.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":720}"
"severe","569","assets/LevelData/level_569.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1225}"
"severe","570","assets/LevelData/level_570.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":552}"
"severe","571","assets/LevelData/level_571.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":754}"
"severe","572","assets/LevelData/level_572.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1480}"
"severe","573","assets/LevelData/level_573.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":800}"
"severe","574","assets/LevelData/level_574.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":535}"
"severe","575","assets/LevelData/level_575.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":812}"
"severe","576","assets/LevelData/level_576.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1296}"
"severe","577","assets/LevelData/level_577.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":812}"
"severe","578","assets/LevelData/level_578.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1036}"
"severe","579","assets/LevelData/level_579.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":812}"
"severe","580","assets/LevelData/level_580.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":406}"
"severe","581","assets/LevelData/level_581.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1406}"
"severe","582","assets/LevelData/level_582.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":714}"
"severe","583","assets/LevelData/level_583.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1292}"
"severe","584","assets/LevelData/level_584.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":577}"
"severe","585","assets/LevelData/level_585.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":540}"
"severe","586","assets/LevelData/level_586.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":506}"
"severe","587","assets/LevelData/level_587.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":278}"
"severe","588","assets/LevelData/level_588.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":525}"
"severe","589","assets/LevelData/level_589.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":1650}"
"severe","590","assets/LevelData/level_590.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":529}"
"severe","591","assets/LevelData/level_591.json","slotTotalCount_mismatch","slotTotalCount does not equal filled cells in correctColorArr","{""slotTotalCount"":0,""filled"":799}"
